,artist_name,RelatedArtist_Name,rank,external_urls__spotify,followers__total,genres__001,genres__002,genres__003,genres__004,genres__005,id,Large_image,Medium_image,Small_image,popularity,type
171,1951,Upgrade (UK),12,https://open.spotify.com/artist/1j95lMtVC9QwnVbifoVy60,7732,bass house,jump up,uk dnb,,,1j95lMtVC9QwnVbifoVy60,https://i.scdn.co/image/f683fe88b8f2606763f451e264e0200aa99ed856,https://i.scdn.co/image/aa34e7ff35b0260e0fc3addc2f6a7568d3ffa971,https://i.scdn.co/image/df98234677854077b68b4fa48793c590a6f5a150,44,artist
172,1951,DC Breaks,13,https://open.spotify.com/artist/4D5VLxuFvZ058Z5S8YmE47,37514,drum and bass,jump up,liquid funk,,,4D5VLxuFvZ058Z5S8YmE47,https://i.scdn.co/image/685e7af78b467dcc86274134066c7da33882a9bf,https://i.scdn.co/image/25edf19f57f038f012c9c2dd60313540b9cb8729,https://i.scdn.co/image/290808f945071e312961ad060abceb39eaac5430,47,artist
173,1951,Dossa & Locuzzed,14,https://open.spotify.com/artist/1hjb2l5U7cvWiXBpTyQF39,5049,austrian dnb,jump up,,,,1hjb2l5U7cvWiXBpTyQF39,https://i.scdn.co/image/dab0d0c502302bfb2bf0c3c63c4417d789fe2152,https://i.scdn.co/image/cf42b691ae5cd222a92d0e4d952d50a9ebcb3fed,https://i.scdn.co/image/1774b34b25d56baebeab864a86e3a5d9c787572f,40,artist
174,1951,Dimension,15,https://open.spotify.com/artist/1QMgre3BHX161ZHtWMUu6S,52824,drum and bass,uk dnb,,,,1QMgre3BHX161ZHtWMUu6S,https://i.scdn.co/image/5c37162e02fff6ad75b685be79d96d0c9df80462,https://i.scdn.co/image/cd23db8f6ea4220a430cd5e0159e6c36a1d31672,https://i.scdn.co/image/00d0b691a63a3d865e9a3f9377364244a311a7f7,63,artist
175,1951,Harriet Jaxxon,16,https://open.spotify.com/artist/6QnlU1E8RuDkq4wU4cUnJu,1577,,,,,,6QnlU1E8RuDkq4wU4cUnJu,https://i.scdn.co/image/e7f9c72779850ed4a14d8d37e5d885580dc646ca,https://i.scdn.co/image/bab0616568c8d6915286fac0a0f644e26f6b3842,https://i.scdn.co/image/883b7cf2a88892359fcd2a56ff383a114dfda409,34,artist
176,1951,Ekko & Sidetrack,17,https://open.spotify.com/artist/7IVvHpo698q6w0VadlUxCL,4904,,,,,,7IVvHpo698q6w0VadlUxCL,https://i.scdn.co/image/ac887db96c7253dcb5c90dab5ab900567d5b69c0,https://i.scdn.co/image/f0df7818962d8abe15f5d05913c264a1795ca064,https://i.scdn.co/image/717f0cf726bf94f07570e688469a2e3377589dc7,42,artist
177,1951,Fourward,18,https://open.spotify.com/artist/0AAR54Jo4FnVByHHh3BAjw,13182,austrian dnb,deep dnb,drum and bass,jump up,liquid funk,0AAR54Jo4FnVByHHh3BAjw,https://i.scdn.co/image/38f7cc5c1b9c1d82585ee9d95886c54abeab0d31,https://i.scdn.co/image/479a0bed3e93003df5fb0a67d814a2523b97db00,https://i.scdn.co/image/26f75569158f4f671a01f247e1258f8bebe06161,40,artist
178,1951,Fred V,19,https://open.spotify.com/artist/0k3dnuEr9LghUE4jxS0PT4,19842,drum and bass,liquid funk,,,,0k3dnuEr9LghUE4jxS0PT4,https://i.scdn.co/image/ddf878b18c1d80081b3c908a5959f4f0f2542970,https://i.scdn.co/image/aef263c234e92233eb2129df5476006d65de17bf,https://i.scdn.co/image/de0d027460124f1301c792e43d992a37dd98f725,50,artist
179,1951,Metrik,20,https://open.spotify.com/artist/2NCEtX40i9lLNpTg2X5583,82224,drum and bass,liquid funk,,,,2NCEtX40i9lLNpTg2X5583,https://i.scdn.co/image/439bd1aaee1a634f5c0daa046600c1d8157e818e,https://i.scdn.co/image/56b22f4649c66b12f445a1a8444b1b6e14d0c811,https://i.scdn.co/image/b2f1cc58173f15de41b7f2e48b5eaa9af7ced21d,58,artist
180,2 Phases,Formologic,1,https://open.spotify.com/artist/70RFIE306PD6iynvbA2AHo,18,,,,,,70RFIE306PD6iynvbA2AHo,https://i.scdn.co/image/ab67616d0000b27341370891a6256bbb26408bfb,https://i.scdn.co/image/ab67616d00001e0241370891a6256bbb26408bfb,https://i.scdn.co/image/ab67616d0000485141370891a6256bbb26408bfb,0,artist
